#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,phase
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-16T17:34:34Z,1545,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-16T19:33:37Z,1545,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-16T21:32:40Z,1543,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-16T22:32:09Z,1542,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-16T23:31:39Z,1541,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T00:31:07Z,1540,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T02:30:10Z,1538,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T08:27:10Z,1531,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T09:26:42Z,1528,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T10:26:11Z,1524,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T12:25:08Z,1523,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T13:24:36Z,1523,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T14:24:00Z,1522,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T15:23:24Z,1521,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T16:22:53Z,1520,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T17:22:19Z,1521,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T18:21:46Z,1380,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T19:21:14Z,1520,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T20:20:40Z,1520,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T21:20:09Z,1519,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-17T22:19:49Z,1516,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-18T00:18:45Z,1516,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-18T02:17:41Z,1514,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-18T03:17:11Z,1514,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-18T04:16:41Z,1514,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-18T06:15:37Z,1513,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-18T07:15:05Z,1511,load_grams,plant_watering,esp_2_timer_irrigation,post
